H 1312.0
He 2372.3
Li 520.2
Be 899.5
B 800.6
C 1086.5
N 1402.3
O 1313.9
F 1681.0
Ne 2080.7
Na 495.8
Mg 737.7
Al 577.5
Si 786.5
P 1011.8
S 999.6
Cl 1251.2
Ar 1520.6
K 418.8
Ca 589.8
Sc 633.1
Ti 658.8
V 650.9
Cr 652.9
Mn 717.3
Fe 762.5
Co 760.4
Ni 737.1
Cu 745.5
Zn 906.4
Ga 578.8
Ge 762
As 947
Se 941
Br 1139.9
Kr 1350.8
Rb 403
Sr 549.5
Y 600
Zr 640.1
Nb 652.1
Mo 684.3
Tc 702
Ru 710.2
Rh 719.7
Pd 804.4
Ag 731
Cd 867
In 558.3
Sn 708.6
Sb 834
Te 869.3
I 1008.4
Xe 1170.4
Cs 375.7
Ba 502.9
La 538.1
Ce 534.4
Pr 527
Nd 533.1
Pm 540
Sm 544.5
Eu 547
Gd 593.4
Tb 565.8
Dy 573
Ho 581
Er 589.3
Tm 596.7
Yb 603.4
Lu 523.5
Hf 658.5
Ta 761
W 770
Re 760
Os 840
Ir 880
Pt 870
Au 890.1
Hg 1007.1
Tl 589.4
Pb 715.6
Bi 703
Po 812
At 899
Rn 1037
Fr 380
Ra 509
Ac 499
Th 587
Pa 568
U 597.6
Np 604.5
Pu 584.7
Am 578
Cm 581
Bk 601
Cf 608
Es 619
Fm 627
Md 635
No 642
Lr 470
Rf 580
Db ---
Sg ---
Bh ---
Hs ---
Mt ---
Ds ---
Rg ---
Cn ---
Uut ---
Fl ---
Uup ---
Lv ---
Uus ---
Uuo ---
