H Hidrogeno
He Helio
Li Litio
Be Berilio
B Boro
C Carbono
N Nitrogeno
O Oxigeno
F Fluor
Ne Neon
Na Sodio
Mg Magnesio
Al Aluminio
Si Silicio
P Fosforo
S Azufre
Cl Cloro
Ar Argon
K Potasio
Ca Calcio
Sc Escandio
Ti Titanio
V Vanadio
Cr Cromo
Mn Manganeso
Fe Hierro
Co Cobalto
Ni Niquel
Cu Cobre
Zn Zinc
Ga Galio
Ge Germanio
As Arsenico
Se Selenio
Br Bromo
Kr Criptón
Rb Rubidio
Sr Estroncio
Y Itrio
Zr Circonio
Nb Niobio
Mo Molibdeno
Tc Tecnecio
Ru Rutenio
Rh Rodio
Pd Paladio
Ag Plata
Cd Cadmio
In Indio
Sn Estano
Sb Antimonio
Te Telurio
I Yodo
Xe Xenon
Cs Cesio
Ba Bario
La Lantano
Ce Cerio
Pr Praseodimio
Nd Neodimio
Pm Prometeo
Sm Samario
Eu Europio
Gd Gadolinio
Tb Terbio
Dy Disprosio
Ho Holmio
Er Erbio
Tm Tulio
Yb Iterbio
Lu Lutecio
Hf Hafnio
Ta Tantalio
W Tungsteno
Re Renio
Os Osmio
Ir Iridio
Pt Platino
Au Oro
Hg Mercurio
Tl Talio
Pb Lead
Bi Bismuto
Po Polonio
At Astatine
Rn Radon
Fr Francium
Ra Radio
Ac Actinio
Th Torio
Pa Protactinium
U Uranio
Np Neptunio
Pu Plutonio
Am Americio
Cm Curio
Bk Berkelium
Cf Californio
Es Einsteinium
Fm Fermio
Md Mendelevio
No Nobelio
Lr Lawrencium
Rf Rutherfordium
Db Dubnium
Sg Seaborgium
Bh Bohrium
Hs Hassium
Mt Meitnerium
Ds Darmstadtium
Rg Roentgenium
Cn Copernico
Uut Ununtrium
Fl Flerovium
Uup Ununpentium
Lv Livermorium
Uus Ununseptium
Uuo Ununoctium
